Node_ID,X,Y,Z,Temperature
334,0.297580,0.579536,-0.579536,54.626099
335,0.579536,0.297580,-0.579536,51.157626
336,-0.337484,0.791151,0.000000,59.604822
337,-0.579536,0.579536,0.297580,62.158176
338,0.000000,0.791151,0.337484,56.952234
339,0.579536,0.579536,0.297580,50.513261
340,0.337484,0.791151,0.000000,53.578731
341,0.579536,0.579536,-0.297580,50.513261
342,0.000000,0.791151,-0.337484,56.952234
343,-0.579536,0.579536,-0.297580,62.158176
344,-0.337484,-0.791151,0.000000,74.978211
345,-0.579536,-0.579536,-0.297580,76.992560
346,0.000000,-0.791151,-0.337484,64.930278
347,0.579536,-0.579536,-0.297580,53.932840
348,0.337484,-0.791151,0.000000,59.384690
349,0.579536,-0.579536,0.297580,53.932840
350,0.000000,-0.791151,0.337484,64.930278
351,-0.579536,-0.579536,0.297580,76.992560
352,0.791151,0.000000,0.337484,43.659751
353,0.791151,-0.337484,0.000000,44.611367
354,0.791151,0.000000,-0.337484,43.659751
355,0.791151,0.337484,0.000000,42.858773
356,-0.791151,0.000000,-0.337484,68.284401
357,-0.791151,-0.337484,0.000000,76.631362
358,-0.791151,0.000000,0.337484,68.284401
359,-0.791151,0.337484,0.000000,65.311338
360,0.000000,0.000000,0.849175,59.524304
361,0.000000,0.000000,-0.849175,59.524304
362,0.000000,0.849175,0.000000,56.775961
363,0.000000,-0.849175,0.000000,65.900321
364,0.849175,0.000000,0.000000,20.000000
365,-0.849175,0.000000,0.000000,69.468184
366,0.000000,-0.617893,0.617893,63.090930
367,0.617893,0.000000,0.617893,51.070772
368,0.000000,0.617893,0.617893,57.444512
369,-0.617893,0.000000,0.617893,65.838292
370,0.000000,-0.617893,-0.617893,63.090930
371,-0.617893,0.000000,-0.617893,65.838292
372,0.000000,0.617893,-0.617893,57.444512
373,0.617893,0.000000,-0.617893,51.070772
374,0.617893,0.617893,0.000000,49.590381
375,-0.617893,0.617893,0.000000,62.291752
376,0.617893,-0.617893,0.000000,53.170650
377,-0.617893,-0.617893,0.000000,100.000000
378,-0.501543,-0.501543,0.501543,70.705513
379,0.501543,-0.501543,0.501543,55.131525
380,-0.501543,0.501543,0.501543,61.875637
381,0.501543,0.501543,0.501543,52.055255
382,-0.501543,-0.501543,-0.501543,70.705513
383,0.501543,-0.501543,-0.501543,55.131525
384,-0.501543,0.501543,-0.501543,61.875637
385,0.501543,0.501543,-0.501543,52.055255
